17,19,17,23,24,24,14,15,16,22,10,13,18,21,22,19
34,14,13,29,22,18,24,19,22,19,12,21,21,17,26,30
12,22,7,24,22,17,16,19,36,7,18,23,12,17,18,6
15,8,16,27,31,12,16,23,9,32,13,19,10,22,22,36
28,30,8,4,18,10,26,13,4,32,10,15,23,23,19,22
17,16,11,31,17,24,15,21,19,17,29,16,17,16,20,20
27,27,20,16,9,21,12,15,20,11,21,20,9,14,17,27
22,28,18,14,12,21,28,12,28,12,20,11,15,29,21,18
15,14,11,13,18,12,11,23,12,11,19,17,14,12,29,28
18,14,17,28,17,16,25,18,20,14,13,15,8,27,13,29
23,33,22,18,17,14,24,16,18,14,31,16,15,13,10,7
24,21,7,11,19,21,24,16,13,25,9,13,11,17,34,18
22,14,9,8,26,14,7,14,14,19,16,13,23,27,21,12
28,14,12,27,6,16,14,24,17,4,11,19,12,21,22,22
8,16,15,21,16,21,29,9,21,10,28,14,13,17,18,13
19,8,19,19,15,16,14,13,24,8,36,20,19,13,27,17
17,23,21,19,5,9,28,15,12,18,26,11,21,4,19,16
17,19,19,12,20,17,21,12,20,23,10,16,11,3,19,14
14,22,19,19,20,23,18,15,32,28,12,28,19,15,12,20
8,17,17,26,16,31,20,12,11,17,24,3,12,25,3,24
18,19,15,23,13,11,12,12,19,11,14,17,20,9,18,16
15,28,9,21,17,8,18,24,20,21,21,37,33,27,29,24
16,31,13,25,32,18,18,7,19,16,21,12,16,20,41,11
6,17,23,21,17,17,14,18,8,26,15,23,22,3,8,19
20,22,18,14,26,8,23,19,14,17,20,29,21,21,26,21
8,21,18,15,13,24,17,19,22,22,7,18,8,24,22,14
19,18,18,24,21,18,22,23,13,24,17,27,12,23,15,16
12,18,15,14,20,18,10,16,26,22,13,10,16,13,17,19
10,11,21,9,17,30,16,13,22,8,18,22,15,11,34,18
24,15,12,22,17,30,30,19,13,24,24,21,24,14,25,15
20,15,33,8,16,15,11,18,26,11,21,15,18,21,14,20
12,14,19,18,13,29,13,11,12,14,25,22,13,15,24,23
15,18,21,15,17,26,21,19,11,32,20,7,14,15,23,11
20,13,11,19,28,17,21,11,14,29,19,14,30,23,17,21
10,23,15,17,17,13,21,15,12,30,26,18,15,13,36,16
26,39,24,12,13,30,19,16,28,20,5,7,15,15,11,15
22,22,25,17,24,30,14,12,15,23,17,19,9,22,9,35
21,24,17,24,26,16,13,25,14,22,16,18,17,16,9,13
29,29,16,13,21,15,19,26,24,16,16,17,19,21,22,12
18,9,21,18,18,18,6,15,6,19,7,13,13,20,16,14
17,20,11,14,21,17,18,20,34,8,23,28,21,19,25,16
14,23,18,14,25,13,7,19,15,16,22,21,20,10,24,21
12,16,18,14,22,26,17,22,14,12,19,27,36,27,15,20
36,31,26,15,14,9,29,16,13,14,26,16,32,20,15,19
13,18,28,15,22,8,17,12,18,13,13,15,25,22,18,10
9,21,25,12,18,9,16,20,22,3,21,14,20,13,7,21
19,22,10,26,17,30,23,21,15,14,18,32,19,15,31,21
20,22,10,20,20,15,23,26,19,16,32,21,13,23,16,17
23,12,20,22,20,16,8,19,21,28,20,34,18,21,29,25
24,17,25,19,18,14,9,21,34,17,11,19,23,31,18,20
11,19,23,18,17,20,28,22,18,25,21,9,30,27,17,18
21,10,17,16,4,14,11,18,12,17,20,30,15,19,32,11
12,14,17,17,13,17,7,15,20,16,5,13,18,12,26,12
29,30,14,23,16,24,14,17,22,10,42,36,25,19,23,11
16,17,25,15,22,8,16,17,15,19,12,15,13,16,9,17
16,15,12,19,13,17,15,12,15,21,18,13,25,12,17,13
13,22,23,17,11,20,5,12,19,30,10,24,10,15,26,17
14,17,23,16,14,14,19,8,19,26,21,10,22,15,9,18
14,22,20,23,19,31,11,8,27,17,19,5,24,23,27,14
12,18,12,25,15,15,25,16,19,5,32,21,14,27,20,9
17,15,18,27,15,25,35,16,20,11,15,22,16,16,25,19
27,8,12,9,20,27,25,14,24,22,11,29,25,27,21,18
13,27,26,14,11,11,16,9,9,9,18,21,15,26,16,15
7,19,23,13,12,10,14,21,9,20,29,19,17,32,31,14
13,24,23,15,8,16,11,15,21,17,17,14,11,14,21,25
14,22,20,18,19,17,20,19,11,7,17,19,21,18,29,29
8,10,19,26,20,26,19,16,22,25,24,21,19,24,17,19
25,36,18,9,21,18,14,20,17,21,16,12,23,20,18,12
27,27,21,14,19,15,12,18,17,16,21,30,21,12,16,10
32,17,10,19,21,2,18,15,13,18,16,25,18,20,18,17
23,16,16,25,24,17,15,15,20,9,18,18,28,18,15,12
9,7,22,24,21,21,17,5,20,18,17,12,30,29,18,18
24,27,34,15,11,19,10,16,11,12,18,27,23,11,25,12
20,16,12,16,19,22,11,19,21,13,31,21,23,16,17,15
25,20,18,20,13,14,12,17,14,13,16,17,18,11,16,10
14,18,15,14,18,5,21,34,22,23,10,24,18,28,16,21
12,16,31,22,25,13,22,26,22,28,10,23,22,24,19,31
10,27,6,18,23,24,11,16,15,21,16,25,15,42,19,18
16,13,23,33,23,30,20,20,13,17,14,28,13,17,20,14
29,24,10,31,22,23,18,15,19,23,24,19,29,16,18,11
8,17,23,16,14,12,20,20,16,7,13,10,19,22,16,27
11,24,16,12,13,9,11,28,22,3,12,23,20,19,11,27
15,19,11,13,26,23,12,37,24,31,18,13,16,18,21,11
20,16,21,18,19,16,18,24,18,23,21,13,17,17,23,27
15,9,13,23,16,14,28,12,6,17,17,17,30,17,22,34
14,16,16,6,16,8,15,12,22,16,13,11,21,17,10,21
20,28,7,15,21,17,24,15,9,12,15,32,28,32,21,13
21,31,11,17,24,19,20,24,19,26,20,6,23,19,16,19
6,13,22,20,24,19,24,20,28,21,25,23,4,23,8,19
12,33,16,20,20,15,30,13,25,13,20,15,11,23,20,29
18,28,27,23,11,23,16,10,14,11,25,17,15,20,17,29
15,1,26,16,23,27,14,19,10,14,15,7,30,25,9,29
19,17,18,8,9,20,27,21,4,30,20,12,14,20,17,19
16,13,31,12,20,16,12,18,13,15,14,16,13,24,18,16
19,20,21,24,16,19,15,21,4,27,21,26,12,27,28,21
26,18,13,17,31,19,15,14,30,29,8,10,9,14,22,11
13,25,16,15,30,19,18,14,6,29,12,20,31,12,28,21
17,8,24,22,21,22,24,19,14,10,13,17,19,17,24,15
11,9,24,13,18,13,24,19,25,18,23,9,20,18,31,19
16,29,29,23,18,21,18,5,21,29,23,13,17,13,14,25
11,22,13,16,22,19,23,15,27,15,11,14,11,21,16,23
26,18,17,27,18,11,24,17,16,32,17,28,24,1,21,19
9,16,11,16,24,22,14,26,26,15,21,11,21,19,29,8
15,13,14,19,24,13,20,21,13,21,20,20,14,11,17,20
22,11,14,24,21,23,12,19,21,14,25,14,22,25,15,17
29,19,12,12,17,23,10,19,13,8,20,21,21,10,15,14
20,13,14,11,13,18,13,19,18,21,17,29,15,9,8,12
